iter	Passed	Remaining
399	41607	62411
400	41707	62301
401	41809	62194
402	41912	62089
403	42011	61976
404	42107	61862
405	42205	61748
406	42298	61628
407	42399	61521
408	42497	61408
409	42600	61302
410	42688	61177
411	42789	61067
412	42882	60949
413	42977	60833
414	43078	60724
415	43176	60612
416	43271	60497
417	43380	60400
418	43474	60283
419	43574	60174
420	43685	60080
421	43786	59973
422	43883	59859
423	43986	59755
424	44075	59631
425	44175	59522
426	44274	59412
427	44388	59322
428	44491	59218
429	44595	59115
430	44697	59008
431	44809	58916
432	44929	58833
433	45036	58733
434	45147	58639
435	45253	58539
436	45364	58444
437	45467	58339
438	45573	58238
439	45679	58137
440	45781	58031
441	45877	57917
442	45964	57792
443	46060	57679
444	46162	57573
445	46267	57470
446	46382	57381
447	46489	57281
448	46581	57163
449	46685	57060
450	46793	56961
451	46896	56857
452	46996	56749
453	47112	56659
454	47221	56562
455	47322	56455
456	47428	56353
457	47534	56253
458	47634	56144
459	47741	56044
460	47852	55949
461	47968	55859
462	48072	55755
463	48173	55648
464	48278	55545
465	48375	55435
466	48486	55338
467	48592	55238
468	48703	55141
469	48805	55036
470	48910	54933
471	49017	54833
472	49127	54736
473	49238	54640
474	49349	54544
475	49459	54446
476	49572	54353
477	49685	54258
478	49784	54149
479	49895	54053
480	50002	53952
481	50118	53862
482	50226	53762
483	50334	53662
484	50443	53563
485	50561	53474
486	50663	53368
487	50763	53260
488	50863	53151
489	50952	53032
490	51059	52931
491	51158	52822
492	51253	52708
493	51357	52604
494	51454	52493
495	51551	52383
496	51647	52270
497	51751	52167
498	51844	52052
499	51941	51941
500	52041	51834
501	52136	51721
502	52238	51615
503	52343	51512
504	52447	51409
505	52552	51306
506	52652	51198
507	52764	51102
508	52867	50997
509	52980	50903
510	53094	50808
511	53211	50717
512	53313	50611
513	53424	50513
514	53529	50410
515	53637	50311
516	53754	50219
517	53873	50129
518	53975	50023
519	54090	49930
520	54203	49834
521	54321	49742
522	54429	49641
523	54523	49528
524	54625	49422
