iter	Logloss
0	0.6131729253
1	0.5512552071
2	0.5030282026
3	0.4660250006
4	0.4377537972
5	0.4163280746
6	0.3997641037
7	0.3860787677
8	0.3744500148
9	0.3660155295
10	0.3588551674
11	0.3529842459
12	0.348128386
13	0.3442799528
14	0.3410602339
15	0.3387691223
16	0.3364774399
17	0.3349027412
18	0.333395854
19	0.3316544704
20	0.3301223936
21	0.3287838654
22	0.3274587798
23	0.3265481694
24	0.3257642159
25	0.3250798319
26	0.3243474621
27	0.3238413721
28	0.323257944
29	0.3227616254
30	0.3224402768
31	0.3221079081
32	0.3217895529
33	0.3212252957
34	0.3207721728
35	0.3204731949
36	0.3202226544
37	0.3199094412
38	0.3196354326
39	0.3193735001
40	0.3191630977
41	0.3189758526
42	0.3187686211
43	0.3185667657
44	0.3184103833
45	0.3181991621
46	0.3180005725
47	0.3178815782
48	0.317733423
49	0.317590823
50	0.3174465334
51	0.3173097656
52	0.3171860073
53	0.3170384612
54	0.3168860791
55	0.3167799673
56	0.3166479237
57	0.3165844262
58	0.3165114543
59	0.3164106161
60	0.3162883989
61	0.3161022082
62	0.3160030397
63	0.3158975691
64	0.3158078765
65	0.3156719611
66	0.3155548262
67	0.31546233
68	0.3153974506
69	0.3153060455
70	0.3151857428
71	0.3150964312
72	0.3149991726
73	0.3149411874
74	0.3148360199
75	0.3147382638
76	0.3146277462
77	0.314543719
78	0.3144339374
79	0.3143616434
80	0.3142840483
81	0.3142036067
82	0.3141314153
83	0.3140463795
84	0.3139796882
85	0.313933297
86	0.3138892763
87	0.3138265578
88	0.3137428933
89	0.3137003372
90	0.3136798197
91	0.3136133441
92	0.3135600418
93	0.3135093335
94	0.3134508005
95	0.3134069405
96	0.3133686908
97	0.3133312247
98	0.3132522231
99	0.3131940008
100	0.3131301544
101	0.3130716902
102	0.3130297156
103	0.312968861
104	0.3129247088
105	0.3128784752
106	0.312830194
107	0.312770853
108	0.3127433556
109	0.3127168177
110	0.3126804029
111	0.3126260707
112	0.3125740661
113	0.3125048068
114	0.3124506338
115	0.3123881555
116	0.3123176291
117	0.3122220003
118	0.3121522268
119	0.3121016791
120	0.3120685209
121	0.3120173244
122	0.3119563536
123	0.3119040674
124	0.3118571207
125	0.3118149518
126	0.3117618408
127	0.3117113942
128	0.3116380856
129	0.3115786726
130	0.311540426
131	0.3114860234
132	0.3114395587
133	0.31138094
134	0.3113264762
135	0.3112530742
136	0.3112089694
137	0.3111507256
138	0.3111036121
139	0.3110694898
140	0.3110197104
141	0.3109685139
142	0.3109119428
143	0.3108420484
144	0.3107812443
145	0.3107337543
146	0.3106747132
147	0.3106074419
148	0.310552776
149	0.3104933126
150	0.3104325865
151	0.3103679505
152	0.3103190036
153	0.3102558213
154	0.3101942965
155	0.3101400316
156	0.3100962543
157	0.3100442681
158	0.3099732627
159	0.3099222177
160	0.3098791627
161	0.309823346
162	0.3097552927
163	0.3097066488
164	0.3096517672
165	0.3096052337
166	0.3095493987
167	0.3094858996
168	0.3094192267
169	0.3093672604
170	0.3093384805
171	0.3092883461
172	0.3092342297
173	0.3091872569
174	0.3091370705
175	0.3090809523
176	0.3090341923
177	0.3089964033
178	0.3089590534
179	0.3089159005
180	0.3088703648
181	0.3088237731
182	0.308778519
183	0.308725861
184	0.3086451347
185	0.3085910015
186	0.3085362071
187	0.3084918452
188	0.3084566654
189	0.3084148224
190	0.3083740354
191	0.308317827
192	0.308257606
193	0.3082152274
194	0.3081724952
195	0.3081324581
196	0.3080912319
197	0.3080425222
198	0.3080031048
199	0.3079684958
200	0.307932081
201	0.307879293
202	0.307818521
203	0.3077687631
204	0.3077168993
205	0.3076680733
206	0.3076317442
207	0.3075954136
208	0.3075516562
209	0.3075179929
210	0.3074560013
211	0.307425232
212	0.3073810231
213	0.3073296215
214	0.3072864701
215	0.3072360158
216	0.3071956726
217	0.3071541173
218	0.307123827
219	0.3070717016
220	0.3070370773
221	0.3069930474
222	0.3069513942
223	0.306907017
224	0.3068561204
225	0.3068063013
226	0.3067451207
227	0.3066979445
228	0.3066588255
229	0.3066257239
230	0.3065789593
231	0.3065268186
232	0.3064721344
233	0.3064285132
234	0.3063802871
235	0.3063302246
236	0.3062893059
237	0.3062539364
238	0.30620955
239	0.3061737978
240	0.306139299
241	0.3060970382
242	0.3060504604
243	0.306016035
244	0.3059766039
245	0.3059367932
246	0.3058970101
247	0.3058552513
248	0.3058257889
249	0.305784985
250	0.305751305
251	0.305699279
252	0.3056611334
253	0.3055748443
254	0.3055417198
255	0.3054864893
256	0.3054282394
257	0.3053909844
258	0.3053506473
259	0.3053057375
260	0.3052716519
261	0.3051992018
262	0.3051594478
263	0.3051192974
264	0.3050737617
265	0.305034505
266	0.3049940194
267	0.3049587065
268	0.3049239185
269	0.3048833288
270	0.3048443461
271	0.3047987124
272	0.3047679431
273	0.3047312682
274	0.3046991491
275	0.3046564522
276	0.3046169889
277	0.3045843816
278	0.3045391122
279	0.3044988103
280	0.3044588052
281	0.3044081719
282	0.3043761018
283	0.3043522405
284	0.3043104939
285	0.3042672905
286	0.3042204524
287	0.3041896678
288	0.3041483482
289	0.3041191276
290	0.3040828215
291	0.3040488736
292	0.3040142646
293	0.3039788246
294	0.3039546909
295	0.3039239584
296	0.3038913159
297	0.3038660298
298	0.3038174671
299	0.3037818786
300	0.3037486516
301	0.3037030898
302	0.3036792484
303	0.3036346677
304	0.3035925309
305	0.3035555376
306	0.3035179291
307	0.3034841802
308	0.3034523549
309	0.3034340595
310	0.3033863339
311	0.3033482586
312	0.3033226849
313	0.3032777705
314	0.3032292903
315	0.3031797742
316	0.3031481081
317	0.3031089356
318	0.303069633
319	0.3030336528
320	0.3030058967
321	0.3029732573
322	0.3029491925
323	0.3029152584
324	0.3028766368
325	0.3028609231
326	0.3028367206
327	0.3027976843
328	0.302769437
329	0.3027353912
330	0.302687338
331	0.3026257688
332	0.3025920091
333	0.302552226
334	0.3025214643
335	0.3025045111
336	0.3024664266
337	0.3024367332
338	0.3024081079
339	0.3023697128
340	0.3023453128
341	0.3023170762
342	0.3022887417
343	0.3022436942
344	0.3022139869
345	0.3021849729
346	0.3021473828
347	0.302120196
348	0.3020896884
349	0.3020671769
350	0.3020380557
351	0.3020056811
352	0.3019802052
353	0.3019547983
354	0.3019158492
355	0.3018569443
356	0.3018239835
357	0.3017894847
358	0.3017419473
359	0.3017020142
360	0.3016445111
361	0.3016106382
362	0.3015742219
363	0.3015261412
364	0.3014963284
365	0.3014390456
366	0.3014198978
367	0.3013959768
368	0.301366744
369	0.3013350733
370	0.3013064205
371	0.3012774049
372	0.3012451374
373	0.3011764535
374	0.3011345585
375	0.3011085761
376	0.3010693225
377	0.3010417302
378	0.3010094045
379	0.3009855983
380	0.3009271831
381	0.3009163926
382	0.300880238
383	0.3008525875
384	0.3008284783
385	0.3007899133
386	0.3007584033
387	0.300720527
388	0.3006863863
389	0.3006536673
390	0.3006251844
391	0.3005899969
392	0.3005682215
393	0.3005337671
394	0.3005223384
395	0.3005095033
396	0.300484834
397	0.3004481131
398	0.3004177891
399	0.3003895326
400	0.3003609915
401	0.3003216828
402	0.3002822425
403	0.3002469464
404	0.3002248159
405	0.3001913409
406	0.3001522449
407	0.3001109483
408	0.3000742351
409	0.3000213429
410	0.3000206635
411	0.2999963293
412	0.2999717503
413	0.2999515419
414	0.299915727
415	0.2998945515
416	0.2998646728
417	0.2998251468
418	0.2997934623
419	0.299755935
420	0.2997153545
421	0.2996689542
422	0.2996290777
423	0.2995922895
424	0.2995710267
425	0.2995407931
426	0.2994994551
427	0.2994596521
428	0.299433633
429	0.299404215
430	0.2993807255
431	0.2993580702
432	0.2993210493
433	0.2992876601
434	0.2992510035
435	0.2992175208
436	0.299195196
437	0.2991718198
438	0.2991517798
439	0.2991035798
440	0.2990664396
441	0.2990325958
442	0.2990053937
443	0.298979393
444	0.2989527464
445	0.2989267686
446	0.2988906155
447	0.2988420023
448	0.2987999542
449	0.2987784435
450	0.2987464392
451	0.298711792
452	0.2986759511
453	0.2986368581
454	0.2986050344
455	0.2985704315
456	0.2985521392
457	0.2985077252
458	0.2984694648
459	0.298447039
460	0.2984109272
461	0.2983775517
462	0.298346536
463	0.2983127427
464	0.2982970428
465	0.2982587487
466	0.2982262684
467	0.2981912922
468	0.298158362
469	0.2981194328
470	0.2980900485
471	0.2980708272
472	0.298044727
473	0.2980093391
474	0.2979699477
475	0.2979393467
476	0.2979173846
477	0.2978807953
478	0.2978455834
479	0.2977904309
480	0.2977599447
481	0.2977108234
482	0.2976880869
483	0.2976675296
484	0.2976346698
485	0.297608917
486	0.2975752048
487	0.297535108
488	0.297508238
489	0.2974816894
490	0.297449956
491	0.2974109763
492	0.2973871885
493	0.2973697378
494	0.2973477956
495	0.2973156199
496	0.297270453
497	0.2972221595
498	0.2971940622
499	0.297167936
500	0.2971187397
501	0.2970866726
502	0.2970577152
503	0.2970270071
504	0.2970020409
505	0.2969690572
506	0.2969388479
507	0.2969142643
508	0.2968946773
509	0.2968681716
510	0.2968316435
511	0.2968090111
512	0.2967729881
513	0.2967416525
514	0.2967273942
515	0.2966967381
516	0.2966755136
517	0.2966451835
518	0.2965936059
519	0.2965564596
520	0.2965130695
521	0.2964897162
522	0.296449849
523	0.2964024355
524	0.2963733848
525	0.2963418212
526	0.2962798433
527	0.2962265548
528	0.2962088624
529	0.2961864641
530	0.2961485786
531	0.296116862
532	0.29608384
533	0.2960526483
534	0.2960347172
535	0.29600209
536	0.295981395
537	0.2959644478
538	0.2959417435
539	0.2959224778
540	0.2958996082
541	0.2958808139
542	0.2958368698
543	0.2957953574
544	0.2957725291
545	0.2957426688
546	0.2957037075
547	0.2956646482
548	0.2956258369
549	0.2955790937
550	0.2955561016
551	0.2955297979
552	0.2954949838
553	0.2954469751
554	0.2954325392
555	0.2954002778
556	0.2953899204
557	0.2953711245
558	0.2953399895
559	0.2953031431
560	0.2952643272
561	0.295221064
562	0.295187537
563	0.2951565274
564	0.2951262218
565	0.295101782
566	0.2950698083
567	0.2950209211
568	0.2949870222
569	0.2949525571
570	0.2949006413
571	0.294876806
572	0.2948465723
573	0.2948239583
574	0.2947929533
575	0.2947667383
576	0.2947423169
577	0.2947094143
578	0.2946886045
579	0.2946612708
580	0.2946365219
581	0.2945969959
582	0.2945813587
583	0.2945515765
584	0.2945251656
585	0.294467563
586	0.2944362091
587	0.2943946539
588	0.2943706303
589	0.2943396957
590	0.294306963
591	0.2942864103
592	0.2942465859
593	0.2942259169
594	0.294184882
595	0.2941483769
596	0.2941194685
597	0.2940939023
598	0.2940590623
599	0.2940201637
600	0.2939897402
601	0.2939587827
602	0.2939214589
603	0.2938857955
604	0.2938532509
605	0.2938267299
606	0.2937915072
607	0.2937515374
608	0.2937279959
609	0.2936974929
610	0.2936555382
611	0.2936359956
612	0.2936154827
613	0.2935847593
614	0.2935573797
615	0.2935299818
616	0.2935026113
617	0.2934664093
618	0.2934457097
619	0.293424274
620	0.2933891401
621	0.2933566415
622	0.2933285304
623	0.2933043278
624	0.2932668586
625	0.2932303122
626	0.2931974585
627	0.293170007
628	0.2931305147
629	0.2931023607
630	0.2930640911
631	0.2930407502
632	0.293010795
633	0.2929632239
634	0.2929313405
635	0.2929067829
636	0.2928791263
637	0.2928440873
638	0.2928241406
639	0.2927889103
640	0.2927606202
641	0.2927365599
642	0.2926944568
643	0.2926634212
644	0.2926464633
645	0.2926156664
646	0.2925857863
647	0.2925814967
648	0.2925501611
649	0.2925194239
650	0.2924892254
651	0.292457166
652	0.2924338924
653	0.2924100755
654	0.2923856923
655	0.2923546598
656	0.2923156403
657	0.292289081
658	0.2922634124
659	0.2922337908
660	0.2922074733
661	0.2921775533
662	0.2921359674
663	0.2921005213
664	0.2920711033
665	0.2920548862
666	0.2920312988
667	0.2920056531
668	0.2919750169
669	0.2919515122
670	0.2919330852
671	0.291898037
672	0.2918809261
673	0.2918535037
674	0.2918200945
675	0.2917823819
676	0.2917522599
677	0.2917275019
678	0.2917103649
679	0.2916797961
680	0.2916374068
681	0.2916057391
682	0.2915592638
683	0.2915388029
684	0.2914854379
685	0.2914567453
686	0.2914259668
687	0.2914023366
688	0.2913706444
689	0.2913431531
690	0.2913099108
691	0.291262632
692	0.2912400363
693	0.2912079784
694	0.2911684126
695	0.2911348856
696	0.2911124888
697	0.2910895794
698	0.2910468886
699	0.2910168355
700	0.2909774993
701	0.2909520265
702	0.2909258926
703	0.2909035311
704	0.2908810134
705	0.2908385767
706	0.2907950381
707	0.2907645917
708	0.2907567241
709	0.2907496156
710	0.2907182173
711	0.2906901735
712	0.2906512995
713	0.2906153683
714	0.2905738742
715	0.2905382322
716	0.2905115796
717	0.2904814163
718	0.2904329407
719	0.2904116826
720	0.2903892552
721	0.2903611701
722	0.2903396839
723	0.290322997
724	0.2902936233
725	0.2902583731
726	0.2902283705
727	0.2901960968
728	0.2901712408
729	0.2901555287
730	0.2901059467
731	0.2900870927
732	0.2900295881
733	0.2900016224
734	0.2899758083
735	0.2899524107
736	0.2899300293
737	0.2898960432
738	0.2898616285
739	0.2898326528
740	0.2898055548
741	0.2897712182
742	0.2897436121
743	0.2897157444
744	0.2896847547
745	0.2896677203
746	0.2896531942
747	0.2896173073
748	0.2895986508
749	0.2895707493
750	0.2895398055
751	0.2895099208
752	0.2894666148
753	0.2894480148
754	0.2894168507
755	0.2893685925
756	0.2893473098
757	0.2892944605
758	0.2892793024
759	0.2892459115
760	0.289208427
761	0.2891682965
762	0.2891259669
763	0.2890966468
764	0.289071497
765	0.2890238784
766	0.2889862256
767	0.2889492078
